trade_id,scenario_id,symbol,entry_time,entry_price,exit_time,exit_price,exit_reason,position_size,pnl,pnl_pct,fees,slippage
161,S001_RR1,BTC/USDT,2024-05-04T01:25:00,63566.01,2024-05-04T01:30:00,63308.91544630176,Stop Loss,0.29063981154548174,-130.1463521375208,-0.4044528730027886,73.8245307557566,18.47481316709821
162,S001_RR1,BTC/USDT,2024-05-04T01:30:00,63088.0,2024-05-04T02:00:00,62763.262720128194,Stop Loss,0.2923710353541058,-150.27908636945546,-0.5147370020793274,73.68547173894513,18.44510387841983
163,S001_RR1,BTC/USDT,2024-05-04T01:35:00,63173.99,2024-05-04T01:50:00,62863.7650241111,Stop Loss,0.29143921460596667,-145.64585741159186,-0.49106440148691116,73.55510039317656,18.411378029125192
164,S001_RR1,BTC/USDT,2024-05-04T01:40:00,62990.96,2024-05-04T02:05:00,62682.50435422962,Stop Loss,0.29176543212520833,-145.1324487728003,-0.48968240168173377,73.42434196274719,18.378584664381712
165,S001_RR1,BTC/USDT,2024-05-04T01:45:00,62932.03,2024-05-04T02:05:00,62644.72977366567,Stop Loss,0.29151928607790384,-138.79125824210365,-0.4565246446592135,73.2998482712619,18.345900457033224
166,S001_RR1,BTC/USDT,2024-05-04T01:50:00,62834.0,2024-05-04T02:05:00,62558.03447051025,Stop Loss,0.29147419830035926,-135.38030079457423,-0.43919777427786383,73.17752227255255,18.314489776004777
167,S001_RR1,BTC/USDT,2024-05-04T02:15:00,62773.05,2024-05-04T04:45:00,63163.32400566439,Take Profit,0.2912677798076874,58.8229424307485,0.6217222289890149,73.24874186417433,18.283766905256954
168,S001_RR1,BTC/USDT,2024-05-04T02:20:00,62794.19,2024-05-04T02:35:00,62572.41751705452,Stop Loss,0.2912984784979855,-119.47754287127958,-0.35317357058906546,73.10280603519894,18.29185200551342
169,S001_RR1,BTC/USDT,2024-05-04T03:10:00,62722.81,2024-05-04T04:45:00,62962.67842759889,Take Profit,0.29119089286553723,15.054568461967662,0.3824261502297053,73.12709168934455,18.264311046935447
170,S001_RR1,BTC/USDT,2024-05-04T03:15:00,62749.93,2024-05-04T04:45:00,62966.85930391904,Take Profit,0.2910545896850903,8.347304156073413,0.34570445563690333,73.11775878521539,18.26365512891814
171,S001_RR1,BTC/USDT,2024-05-04T03:20:00,62793.75,2024-05-04T04:45:00,63013.85539672983,Take Profit,0.29081969513000366,9.22600668022822,0.3505211851972983,73.11064790865211,18.261659231069668
172,S001_RR1,BTC/USDT,2024-05-04T03:25:00,62834.0,2024-05-04T03:35:00,62701.371193700485,Stop Loss,0.2906044386536365,-93.32203769906035,-0.2110780887728227,73.0008146736464,18.259839298362596
173,S001_RR1,BTC/USDT,2024-05-04T03:30:00,62743.21,2024-05-04T04:45:00,62965.05827576596,Take Profit,0.2906693908626458,9.77191128641823,0.3535813289851739,73.01460702904909,18.237530631467067
